the,5362371
com,4469726
enron,4353063
to,3495493
and,2420738
of,2223010
a,1943414
in,1647305
for,1350160
20,1197936
is,1149577
on,1139477
you,1108443
i,1066278
that,1032272
s,1008470
this,851713
ect,816153
be,798782
with,714631
will,702102
we,682950
at,667841
have,652651
it,648338
by,641463
are,616393
as,588847
or,579856
from,553863
2001,480303
not,468243
if,463574
your,448833
hou,426730
e,407730
1,406920
09,402946
cc,395891
please,365408
an,357101
pm,348335
am,341587
00,331018
has,328778
http,321028
2000,320987
01,318800
2,311243
would,309186
any,307229
energy,303453
all,300401
t,296913
power,295208
was,294660
10,288048
can,282284
our,280605
me,272656
new,257536
but,255326
he,253185
mail,239984
said,234787
message,231140
they,229971
11,229599
may,227507
corp,224023
3,221360
www,214039
up,212646
12,209604
time,205781
m,202819
no,202292
sent,201394
more,201089
its,200908
company,198963
which,197660
about,197488
gas,197216
do,196444
5,188768
know,185456
us,184634
one,184082
thanks,184049
out,181347
been,178470
4,177521
there,175939
mark,173292
market,173133
3d,172163
so,171916
0,171271
information,170653
their,169544
also,167898
california,167428
what,167140
my,167139
other,164070
original,163971
get,162823
state,161219
john,157258
713,155597
should,150921
need,148041
d,147945
ees,147850
some,145052
these,142570
call,142408
business,138989
day,137915
30,137721
when,133171
week,132292
like,132121
td,132056
font,132050
who,131831
forwarded,131438
let,128916
price,127651
year,126024
6,125778
net,125658
bcc,124705
email,124534
see,123842
were,123209
could,121416
02,120071
p,119210
only,119029
image,118687
had,118126
just,117402
b,116483
last,116343
his,115806
houston,115647
attached,115439
now,114269
jeff,113575
into,113158
than,112874
subject,112466
na,110730
o,109876
re,109827
8,109293
over,105585
here,105417
7,105343
c,105255
how,104273
9,104093
david,103361
group,102224
them,101319
05,100953
two,100846
04,100632
use,100491
15,100446
03,100227
agreement,99654
make,99386
don,97738
questions,97050
meeting,96897
today,96685
bill,95967
trading,95826
deal,94190
l,94104
contact,93233
first,92950
000,92320
j,91692
25,90542
08,90271
services,88913
million,88812
back,88580
next,88569
through,88313
go,87323
after,86521
electricity,86044
work,85658
think,83714
monday,83499
michael,83477
davis,83097
service,83093
richard,83083
enron_development,82750
report,82739
prices,81818
jones,81632
inc,81540
free,81152
take,81108
07,81100
each,80780
help,80761
friday,80176
06,79982
want,79729
mike,79370
well,78956
following,78614
date,78346
system,77451
steve,77244
credit,77039
under,77012
way,77006
2002,76506
doc,76042
contract,75708
going,75073
ca,74940
news,74755
scott,74627
r,74531
fax,74529
available,74289
financial,74217
per,73861
review,73590
good,73151
such,72614
off,72467
robert,72420
because,72166
chris,71821
very,71508
companies,71331
right,70947
management,70834
16,70823
james,70515
19,70006
number,69864
file,69849
thursday,69212
17,68821
paul,68715
click,68541
tuesday,68285
14,68179
ll,68085
send,67817
before,67809
list,67801
13,67725
team,67718
order,67711
below,67604
18,67416
still,67393
october,67290
those,67123
smith,66975
based,66820
forward,66709
office,66548
wednesday,66341
then,66122
21,65859
williams,65548
br,65452
most,65201
much,64747
received,64724
22,64577
susan,64250
change,63953
issues,63542
risk,63442
customers,63374
aol,63022
november,62877
plan,62852
legal,62720
31,62577
texas,62349
provide,62259
between,61990
long,61967
phone,61947
rate,61856
while,61797
best,61732
made,61649
27,61640
24,61632
people,61324
access,61249
did,60627
23,60591
data,60387
final,60040
thank,59821
size,59758
joe,59631
u,59471
ferc,59005
during,58896
26,58813
w,58709
she,58621
communications,58577
50,58467
north,58337
president,58242
where,58171
edu,58054
vince,57974
being,57838
mary,57662
both,57397
down,57329
since,57308
tr,57051
org,56939
name,56554
markets,56487
utilities,56368
co,56319
project,56176
comments,56150
n,56114
853,55921
end,55884
him,55438
commission,55417
28,55277
find,55251
29,55073
america,54726
month,54618
many,54598
look,54557
address,54001
changes,53952
high,53774
schedule,53772
natural,53719
term,53650
scheduled,53595
process,53552
intended,53446
issue,53402
billion,53351
request,53022
give,53011
support,52618
does,52296
january,52246
public,52179
set,52017
center,51807
tom,51302
years,51269
utility,51151
asp,51009
eric,50625
san,50609
steven,50545
gov,50539
days,50444
sara,50293
iso,49975
cost,49949
enronxgate,49863
however,49663
ena,49443
stock,49392
including,49299
receive,49122
start,49028
electric,48963
current,48780
online,48728
home,48708
until,48695
kevin,48677
contracts,48603
kay,48428
buy,48224
line,48121
employees,48072
internet,48016
her,47940
ve,47914
conference,47897
offer,47568
trade,47551
copy,47541
must,47533
working,47492
june,47139
sure,47080
firm,47042
times,46713
london,46660
class,46314
f,46243
error,46181
york,46141
note,46128
great,46113
site,46070
taylor,46041
deals,45887
jim,45820
et,45745
capacity,45704
part,45504
industry,45364
rates,45338
december,45308
same,45159
g,44971
even,44968
pay,44888
web,44869
three,44692
regarding,44681
due,44312
html,43742
against,43741
lisa,43705
top,43690
pg,43492
march,43462
additional,43430
mr,43421
point,43273
program,43225
place,43177
regards,43045
transmission,42667
bob,42452
include,42266
daily,42187
letter,42134
global,41921
april,41903
hour,41811
possible,41699
able,41526
align,41246
plant,41111
board,41028
committee,41022
products,40932
discuss,40916
id,40758
put,40742
draft,40720
again,40563
come,40536
greg,40510
street,40244
continue,40228
form,40103
keep,40066
might,40051
transactions,40042
position,39981
percent,39933
value,39922
hope,39755
demand,39746
money,39743
customer,39728
costs,39650
another,39587
research,39565
further,39369
recipient,39202
key,39157
dynegy,39141
100,39044
already,39019
above,38826
purchase,38653
few,38397
face,38382
law,38336
federal,38076
gif,37993
world,37941
exchange,37900
general,37718
case,37694
whether,37531
lon,37525
development,37389
area,37275
dow,37273
dan,37248
details,37219
supply,37112
product,37027
within,36959
too,36928
say,36892
table,36776
open,36691
database,36690
kaminski,36665
asked,36560
karen,36521
updated,36404
believe,36384
future,36314
party,36308
interest,36262
total,36218
oil,36214
morning,36016
y,35982
h,35966
used,35960
page,35933
dasovich,35908
says,35823
government,35779
transaction,35730
city,35676
check,35639
generation,35598
soon,35530
edison,35506
shackleton,35492
width,35461
without,35318
currently,35311
around,35286
capital,35273
cash,35211
west,35165
needs,35102
members,35068
frank,34849
wholesale,34779
visit,34717
left,34698
99,34554
george,34521
july,34492
game,34482
notice,34478
yahoo,34312
sales,34241
meet,34158
jeffrey,34071
short,34050
plants,34025
several,33992
hotmail,33959
href,33946
department,33857
st,33835
sell,33785
tana,33716
staff,33554
tomorrow,33547
real,33473
copyright,33461
months,33456
court,33435
technology,33337
carol,33288
thru,33072
summer,33032
operations,32813
september,32564
policy,32523
40,32517
rights,32474
sat,32458
k,32450
done,32445
full,32354
kean,32352
mailto,32279
confidential,32235
better,32025
own,31975
executive,31961
investment,31861
account,31825
expected,31820
looking,31774
marketing,31718
fantasy,31716
big,31681
tax,31622
resources,31611
outages,31570
images,31499
international,31339
director,31211
craig,31084
basis,31027
option,30999
non,30927
sale,30856
ryan,30854
little,30830
chairman,30795
pipeline,30780
night,30716
got,30703
duke,30675
required,30625
distribution,30539
increase,30529
house,30446
person,30444
amount,30438
nbsp,30365
rick,30354
stephanie,30301
using,30299
really,30144
brown,29985
view,29968
proposed,29940
reports,29852
action,29850
dave,29798
crisis,29748
linda,29631
special,29623
return,29598
february,29589
options,29576
documents,29499
weeks,29492
larry,29481
section,29449
problem,29397
period,29377
approval,29327
either,29322
points,29311
terms,29276
bush,29250
tx,29243
corporate,29179
unit,29173
regulatory,29153
jennifer,29130
share,29077
direct,29067
yet,28979
ken,28941
tim,28900
national,28828
told,28811
646,28808
provided,28788
update,28770
second,28769
elizabeth,28757
august,28714
later,28635
given,28614
talk,28591
getting,28584
every,28581
ed,28541
45,28528
once,28524
move,28519
thomas,28483
complete,28459
jan,28386
states,28369
early,28322
delivery,28266
white,28265
shapiro,28263
travel,28263
past,28211
systems,28064
document,28060
dean,28033
chief,28010
things,27995
problems,27983
run,27939
book,27906
345,27892
shall,27783
plans,27762
index,27746
yesterday,27735
close,27725
found,27706
steffes,27669
less,27647
william,27484
link,27477
version,27436
washington,27234
related,27171
master,27141
prior,27137
feel,27102
lay,27062
anything,27051
governor,26929
omni,26824
read,26818
peter,26802
via,26799
gary,26698
sportsline,26689
why,26669
event,26628
desk,26568
press,26519
american,26452
sunday,26412
others,26334
impact,26293
important,26267
called,26208
investors,26174
1999,26147
miller,26141
border,26128
interested,26110
michelle,26003
assets,26002
brian,26001
control,25987
member,25982
limited,25929
addition,25776
everyone,25715
doing,25654
together,25627
hours,25613
weather,25599
response,25596
something,25557
pdf,25556
third,25553
decision,25482
isda,25412
ct,25361
arial,25360
allen,25351
generators,25346
weekend,25293
immediately,25241
four,25210
low,25209
35,25168
employee,25166
leslie,25158
having,25084
network,25025
cannot,24974
try,24934
manager,24875
anyone,24875
bank,24784
status,24738
800,24684
bankruptcy,24669
commercial,24649
fyi,24625
type,24609
counterparty,24538
language,24499
berkeley,24497
vice,24491
probably,24453
quarter,24436
level,24400
wanted,24373
portland,24328
recent,24304
production,24283
least,24283
500,24271
administration,24258
hi,24204
thought,24186
likely,24128
far,24072
needed,24031
cpuc,24010
jason,23980
mann,23944
making,23917
room,23832
kim,23819
major,23751
reply,23665
dec,23654
south,23622
pete,23454
question,23334
haas,23324
add,23321
harry,23321
analysis,23296
volume,23242
payment,23236
businesses,23197
effective,23180
etc,23151
fri,23150
job,23128
senior,23109
shares,23022
schedules,23010
numbers,22940
performance,22937
sun,22915
create,22875
included,22773
info,22770
added,22762
sign,22742
opportunity,22571
old,22556
mid,22544
alan,22509
owner,22492
ceo,22462
according,22458
load,22458
discussed,22420
specific,22410
ask,22375
higher,22323
44,22295
cgi,22263
reserved,22237
